RUN 0
Round 1: loss=1.8118, metrics={'accuracy': 0.4813091875726865}
Round 2: loss=0.8588, metrics={'accuracy': 0.6995348064462535}
Round 3: loss=0.7672, metrics={'accuracy': 0.7493769729190896}
Round 4: loss=0.8785, metrics={'accuracy': 0.7506230270809104}
Round 5: loss=1.4510, metrics={'accuracy': 0.7344243229772387}
Round 6: loss=1.7240, metrics={'accuracy': 0.747715567369995}
Round 7: loss=1.8260, metrics={'accuracy': 0.7545273301212826}
Round 8: loss=0.8551, metrics={'accuracy': 0.7899152683169962}
Round 9: loss=0.9621, metrics={'accuracy': 0.7557733842831035}
Round 10: loss=0.7784, metrics={'accuracy': 0.7888353547100847}
RUN 6
Round 1: loss=1.0564, metrics={'accuracy': 0.6782688154178435}
Round 2: loss=1.1593, metrics={'accuracy': 0.6843329456720385}
Round 3: loss=0.6157, metrics={'accuracy': 0.7814421000166141}
Round 4: loss=0.4559, metrics={'accuracy': 0.8481475328127596}
Round 5: loss=0.3966, metrics={'accuracy': 0.8799634490779199}
Round 6: loss=0.4055, metrics={'accuracy': 0.8712410699451736}
Round 7: loss=0.3152, metrics={'accuracy': 0.9066290081408872}
Round 8: loss=0.4041, metrics={'accuracy': 0.8830370493437448}
Round 9: loss=0.3290, metrics={'accuracy': 0.9043861106496096}
Round 10: loss=0.3501, metrics={'accuracy': 0.8994849642797806}
RUN 7
Round 1: loss=1.2342, metrics={'accuracy': 0.6547599268981559}
Round 2: loss=0.5650, metrics={'accuracy': 0.7982222960624689}
Round 3: loss=0.6611, metrics={'accuracy': 0.7756271805947832}
Round 4: loss=0.5514, metrics={'accuracy': 0.802126599102841}
Round 5: loss=0.4537, metrics={'accuracy': 0.8515534141884034}
Round 6: loss=0.6041, metrics={'accuracy': 0.7981392257850142}
Round 7: loss=0.8244, metrics={'accuracy': 0.8080245888021266}
Round 8: loss=0.5863, metrics={'accuracy': 0.8190729357036053}
Round 9: loss=0.3185, metrics={'accuracy': 0.9068782189732514}
Round 10: loss=0.3231, metrics={'accuracy': 0.9052998837016115}
RUN 8
Round 1: loss=1.4192, metrics={'accuracy': 0.544359528160824}
Round 2: loss=1.0546, metrics={'accuracy': 0.7301877388270477}
Round 3: loss=0.8820, metrics={'accuracy': 0.7815251702940688}
Round 4: loss=0.5851, metrics={'accuracy': 0.8121781026748629}
Round 5: loss=0.5569, metrics={'accuracy': 0.8134241568366838}
Round 6: loss=0.8279, metrics={'accuracy': 0.797557733842831}
Round 7: loss=0.6094, metrics={'accuracy': 0.8101013457384948}
Round 8: loss=0.6752, metrics={'accuracy': 0.7860109652766241}
Round 9: loss=0.3285, metrics={'accuracy': 0.9076258514703439}
Round 10: loss=0.3239, metrics={'accuracy': 0.9079581325801628}
RUN 9
Round 1: loss=1.2515, metrics={'accuracy': 0.6429639474995846}
Round 2: loss=0.8589, metrics={'accuracy': 0.7865924572188071}
Round 3: loss=1.0119, metrics={'accuracy': 0.7428144210001661}
Round 4: loss=0.8086, metrics={'accuracy': 0.7782023591958798}
Round 5: loss=0.5655, metrics={'accuracy': 0.8156670543279615}
Round 6: loss=0.8066, metrics={'accuracy': 0.8283768067785346}
Round 7: loss=0.6096, metrics={'accuracy': 0.8144210001661406}
Round 8: loss=0.5631, metrics={'accuracy': 0.8321980395414521}
Round 9: loss=0.5604, metrics={'accuracy': 0.8278783851138063}
Round 10: loss=0.3974, metrics={'accuracy': 0.8778866921415518}
